,Date,High,Low,Mid,Last,Bid,Ask,Volume
0,2021-07-01,35218.0,32720.0,33582.5,33588.84639428,33578.0,33587.0,5803.38519645
1,2021-06-30,36197.0,34428.0,34885.5,34888.36800874,34881.0,34890.0,3345.76983836
2,2021-06-29,36600.0,34151.0,36154.0,36142.0,36153.0,36155.0,5442.17128352
3,2021-06-28,35319.0,33897.0,34424.0,34428.48219863,34419.0,34429.0,6583.07606613
4,2021-06-27,34380.0,31799.0,34247.5,34265.39695127,34243.0,34252.0,29518.79408445
5,2021-06-26,32661.0,30206.0,31845.5,31846.0,31845.0,31846.0,19009.74539597
6,2021-06-25,35495.0,31323.0,31372.5,31372.0,31372.0,31373.0,37327.39182412
7,2021-06-24,35290.0,32343.0,34700.0,34713.0,34697.0,34703.0,4917.75768175
8,2021-06-23,34778.0,31790.0,33444.5,33467.0,33443.0,33446.0,9220.33817457
9,2021-06-22,33368.0,29247.0,32385.5,32394.0,32383.0,32388.0,27469.21824772
10,2021-06-21,35832.0,31368.0,31710.0,31695.72768548,31708.0,31712.0,22437.67018152
11,2021-06-20,36226.37661535,33411.0,35720.0,35712.0,35717.0,35723.0,16983.7170717
12,2021-06-19,36447.0,34819.0,35678.5,35680.0,35677.0,35680.0,11678.28962023
13,2021-06-18,38204.0,35137.0,35479.0,35473.0,35475.0,35483.0,11149.38856429
14,2021-06-17,39519.0,37387.0,37833.5,37839.0,37829.0,37838.0,3664.85666029
15,2021-06-16,40460.0,38255.0,38573.5,38574.98425645,38573.0,38574.0,6660.40200569
16,2021-06-15,41273.0,39445.88757188,40150.5,40150.0,40150.0,40151.0,7851.82488073
17,2021-06-14,40980.0,38730.0,40234.5,40237.57962233,40231.0,40238.0,10141.9143256
18,2021-06-13,39374.0,34800.0,38821.5,38818.19015958,38819.0,38824.0,8286.04642937
19,2021-06-12,37461.34593121,34630.0,35621.5,35622.0,35621.0,35622.0,7552.95982928
20,2021-06-11,37650.0,35929.0,37454.0,37450.0,37451.0,37457.0,6258.40148294
21,2021-06-10,38337.0,35816.0,36726.0,36736.0,36723.0,36729.0,9870.16665336
22,2021-06-09,37209.0,32469.0,37083.5,37077.0,37083.0,37084.0,26641.46843206
23,2021-06-08,34175.0,31075.0,33437.5,33438.0,33437.0,33438.0,13414.67917527
24,2021-06-07,36784.0,33550.0,34124.5,34124.0,34124.0,34125.0,9817.04592625
25,2021-06-06,36475.0,35089.0,35358.0,35361.27269334,35357.0,35359.0,5923.34732826
26,2021-06-05,37924.0,34822.56648447,35085.5,35085.0,35085.0,35086.0,6576.60306077
27,2021-06-04,39275.0,35586.0,37179.5,37179.0,37179.0,37180.0,6032.0645307
28,2021-06-03,39482.0,37179.0,38977.5,38977.14668646,38977.0,38978.0,5410.09204877
29,2021-06-02,38222.0,35933.0,37468.5,37467.0,37463.0,37474.0,4003.04615103
30,2021-06-01,37888.0,35659.0,36299.5,36299.09930157,36299.0,36300.0,5364.83186376
31,2021-05-31,37444.0,34160.0,36984.0,36996.0,36978.0,36990.0,5891.15383364
32,2021-05-30,36419.0,33367.0,35763.5,35766.0,35760.0,35767.0,6508.99751049
33,2021-05-29,37381.0,33617.0,34393.0,34411.0,34389.0,34397.0,7383.55574071
34,2021-05-28,38889.0,34721.0,34958.0,34956.0,34953.0,34963.0,10042.79143239
35,2021-05-27,40500.0,37221.0,38650.0,38642.0,38646.0,38654.0,5499.51266377
36,2021-05-26,40884.0,37851.57741397,38939.0,38932.39142434,38937.0,38941.0,8544.09497079
37,2021-05-25,39829.42639126,36455.0,38642.0,38663.57915565,38641.0,38643.0,7974.68521495
38,2021-05-24,39966.0,33911.80131251,38356.5,38349.0,38351.0,38362.0,15250.16213094
39,2021-05-23,38384.0,31230.0,34028.5,34015.47186355,34020.0,34037.0,25664.61219176
40,2021-05-22,38956.0,35372.0,37682.0,37677.0,37675.0,37689.0,13983.80841533
41,2021-05-21,42298.12038263,33552.0,36780.5,36795.0,36772.0,36789.0,23231.77339274
42,2021-05-20,42300.0,34985.0,39951.5,39954.0,39949.0,39954.0,25443.60212469
43,2021-05-19,43600.0,29563.0,39517.0,39511.0,39514.0,39520.0,67172.17296696
44,2021-05-18,45800.0,42444.0,43158.5,43159.0,43158.0,43159.0,10697.79464358
45,2021-05-17,46796.0,42128.0,42931.0,42930.0,42930.0,42932.0,37499.22854647
46,2021-05-16,49870.0,44021.0,45788.5,45788.38294596,45788.0,45789.0,18836.81275908
47,2021-05-15,50737.0,46984.0,48200.5,48213.53035729,48200.0,48201.0,9092.73654086
48,2021-05-14,51512.0,48488.0,49963.5,49955.0,49963.0,49964.0,6173.56486362
49,2021-05-13,52882.0,46601.04807999,49475.0,49471.0,49471.0,49479.0,23642.24704204
50,2021-05-12,58000.0,51653.02979982,52576.0,52580.0,52575.0,52577.0,12058.28205902
51,2021-05-11,56870.0,54138.73738416,56471.5,56472.0,56471.0,56472.0,7796.8454499
52,2021-05-10,59589.77113765,53844.0,55952.5,55953.0,55952.0,55953.0,13488.76058159
53,2021-05-09,59236.51695169,56255.0,58029.5,58029.0,58029.0,58030.0,8304.61304862
54,2021-05-08,59450.0,56939.0,58659.5,58659.0,58659.0,58660.0,7609.16187821
55,2021-05-07,58635.0,55300.0,56950.0,56960.8923737,56948.0,56952.0,6972.60127464
56,2021-05-06,58343.0,55282.0,56426.5,56426.0,56426.0,56427.0,10379.15856898
57,2021-05-05,57898.0,52960.0,57394.5,57397.0,57393.0,57396.0,8129.26134439
58,2021-05-04,57426.0,53321.0,53955.5,53955.0,53955.0,53956.0,9521.33224309
59,2021-05-03,58945.0,56375.0,57229.5,57230.0,57229.0,57230.0,7419.62518541
60,2021-05-02,57910.0,56050.0,56286.0,56285.0,56285.0,56287.0,4147.83854976
61,2021-05-01,58326.0,57000.0,57564.5,57564.0,57564.0,57565.0,4821.77333985
62,2021-04-30,57342.0,53068.0,57072.0,57076.0,57067.0,57077.0,7338.38875756
63,2021-04-29,55222.0,52377.0,53342.5,53334.0,53340.0,53345.0,7050.92737073
